Attribute,Measure,Group,Min,Mean,Max,Stddev,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Hu,0.010,0.070,0.161,0.039,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,It,0,0.085,0.295,0.055,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Da,0,0.082,0.257,0.050,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,In,0,0.083,0.329,0.054,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Sv,0,0.086,0.298,0.057,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Pt,0,0.082,0.329,0.053,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,De,0,0.083,0.272,0.055,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Fi,0,0.063,0.143,0.035,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Cy,0,0.084,0.329,0.049,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Is,0.026,0.072,0.142,0.031,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Eu,0.004,0.084,0.294,0.056,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Lv,0.004,0.069,0.147,0.036,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Hi,0,0.074,0.201,0.049,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ko,0,0.081,0.185,0.060,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ru,0,0.065,0.143,0.042,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Lt,0.003,0.085,0.200,0.048,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ar,0,0.047,0.129,0.037,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Iw,0.012,0.091,0.144,0.050,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Sl,0.011,0.082,0.298,0.057,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ja,0.014,0.072,0.161,0.045,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Vi,0.020,0.073,0.127,0.034,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Uk,0,0.037,0.109,0.037,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Zh,0.011,0.036,0.073,0.024,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Fa,0,0.019,0.042,0.014,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Ur,0.079,0.086,0.093,0.007,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,My,0,0,0,0,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Km,0,0,0,0,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,Sr,0,0.003,0.006,0.003,
LANGUAGE_SENDER,twitter-averageMentionsPerTweet-1,No Value,0,0,0,0,
LANGUAGE_SENDER,twitter-mostMentioned-1,En,0,0.010,0.197,0.020,
