"Total Degree","Frequency","TF-IDF","Action","Current Node Name","New Node Name","Current Node Class","New Node Class","Current Nodeset Name","New Nodeset Name","Current Node Type","New Node Type"
"2.0","1",,,"830087202092744707",,"Agent",,"Agent",,"",
"125.0","46",,,"40553282",,"Agent",,"Agent",,"",
"10.0","5",,,"281139034",,"Agent",,"Agent",,"",
"2105.0","1391",,,"52724312",,"Agent",,"Agent",,"",
"7.0","2",,,"68119545",,"Agent",,"Agent",,"",
"378.0","159",,,"26834339",,"Agent",,"Agent",,"",
"181.0","89",,,"186613457",,"Agent",,"Agent",,"",
"7568.0","5773",,,"16660725",,"Agent",,"Agent",,"",
"1264.0","402",,,"874916178",,"Agent",,"Agent",,"",
"8621.0","4878",,,"92079350",,"Agent",,"Agent",,"",
"383.0","120",,,"52419540",,"Agent",,"Agent",,"",
"13988.0","8549",,,"217550862",,"Agent",,"Agent",,"",
"4342.0","3040",,,"15365623",,"Agent",,"Agent",,"",
"1901.0","979",,,"757893380",,"Agent",,"Agent",,"",
"2566.0","1266",,,"50325797",,"Agent",,"Agent",,"",
"3690.0","780",,,"16187637",,"Agent",,"Agent",,"",
"149.0","54",,,"21188030",,"Agent",,"Agent",,"",
"104.0","37",,,"17291393",,"Agent",,"Agent",,"",
"699.0","316",,,"254117355",,"Agent",,"Agent",,"",
"541.0","181",,,"1176994477",,"Agent",,"Agent",,"",
"2944.0","1193",,,"33653195",,"Agent",,"Agent",,"",
"9233.0","5427",,,"375662595",,"Agent",,"Agent",,"",
"5665.0","3172",,,"317980134",,"Agent",,"Agent",,"",
"19.0","9",,,"161791703",,"Agent",,"Agent",,"",
"262.0","120",,,"939091",,"Agent",,"Agent",,"",
"789.0","515",,,"22856985",,"Agent",,"Agent",,"",
"3143.0","1500",,,"380648579",,"Agent",,"Agent",,"",
"2.0","1",,,"17001388",,"Agent",,"Agent",,"",
"86.0","28",,,"42971403",,"Agent",,"Agent",,"",
"9.0","2",,,"229958522",,"Agent",,"Agent",,"",
"2.0","1",,,"16309502",,"Agent",,"Agent",,"",
"5.0","1",,,"67232748",,"Agent",,"Agent",,"",
"47.0","22",,,"399452621",,"Agent",,"Agent",,"",
"2.0","1",,,"57850103",,"Agent",,"Agent",,"",
"398.0","140",,,"313525999",,"Agent",,"Agent",,"",
"12.0","6",,,"111033434",,"Agent",,"Agent",,"",
"21.0","8",,,"25928111",,"Agent",,"Agent",,"",
"12.0","6",,,"52293877",,"Agent",,"Agent",,"",
"22.0","5",,,"16950863",,"Agent",,"Agent",,"",
"10192.0","7526",,,"36246939",,"Agent",,"Agent",,"",
"168.0","84",,,"2425151",,"Agent",,"Agent",,"",
"20.0","9",,,"13001192",,"Agent",,"Agent",,"",
"28.0","14",,,"26886095",,"Agent",,"Agent",,"",
"28.0","14",,,"17416571",,"Agent",,"Agent",,"",
"6815.0","2264",,,"1652541",,"Agent",,"Agent",,"",
"164.0","51",,,"27027979",,"Agent",,"Agent",,"",
"2.0","1",,,"423130514",,"Agent",,"Agent",,"",
"89.0","43",,,"160946337",,"Agent",,"Agent",,"",
"11.0","5",,,"226271084",,"Agent",,"Agent",,"",
"114.0","37",,,"817049481141252096",,"Agent",,"Agent",,"",
