Total Degree	Frequency	TF-IDF	Action	Current Node Name	New Node Name	Current Node Class	New Node Class	Current Nodeset Name	New Nodeset Name	Current Node Type	New Node Type
99.0	35		delete	15359205		Agent		Agent			
106.0	43		delete	5548952		Agent		Agent			
2395.0	1000			269911034		Agent		Agent			
1400.0	688			130945778		Agent		Agent			
197.0	91		delete	16001827		Agent		Agent			
7691.0	5471			731167584		Agent		Agent			
2913.0	2617			180633358		Agent		Agent			
39.0	13		delete	82935670		Agent		Agent			
215.0	74		delete	14780915		Agent		Agent			
2117.0	1742			605608408		Agent		Agent			
2.0	1		delete	9604192		Agent		Agent			
28.0	5			303235165		Agent		Agent			
7.0	1		delete	2326119821		Agent		Agent			
92.0	46			549372725		Agent		Agent			
4254.0	2418			21579498		Agent		Agent			
151.0	55		delete	18094696		Agent		Agent			
59.0	28		delete	78714922		Agent		Agent			
110.0	42			22982676		Agent		Agent			
926.0	399		delete	15147042		Agent		Agent			
8.0	4		delete	16013132		Agent		Agent			
2.0	1		delete	4898816811		Agent		Agent			
13.0	5		delete	85332821		Agent		Agent			
18.0	10		delete	140964213		Agent		Agent			
2.0	1		delete	36222802		Agent		Agent			
12.0	6		delete	135151712		Agent		Agent			
126.0	80			805328677		Agent		Agent			
40.0	17		delete	1289524746		Agent		Agent			
286.0	217			16069566		Agent		Agent			
12.0	5		delete	408598653		Agent		Agent			
3247.0	2082			48029066		Agent		Agent			
8.0	3		delete	806583915012046854		Agent		Agent			
2673.0	2216		delete	15923226		Agent		Agent			
258.0	158			24926288		Agent		Agent			
9.0	4		delete	4611621		Agent		Agent			
6.0	3		delete	21251300		Agent		Agent			
40.0	20		delete	18913039		Agent		Agent			
14.0	7		delete	16917749		Agent		Agent			
4.0	2		delete	2996351899		Agent		Agent			
138.0	55		delete	21243049		Agent		Agent			
1069.0	332		delete	459872442		Agent		Agent			
6.0	3		delete	310673079		Agent		Agent			
4.0	2		delete	17494989		Agent		Agent			
10.0	4		delete	14098166		Agent		Agent			
110.0	36		delete	36623		Agent		Agent			
8.0	3		delete	14223960		Agent		Agent			
6.0	3		delete	33485984		Agent		Agent			
3178.0	1078			15463671		Agent		Agent			
81.0	30		delete	223882132		Agent		Agent			
32.0	15		delete	3308453057		Agent		Agent			
8.0	4		delete	1120828772		Agent		Agent			
171.0	80			15617668		Agent		Agent			
6.0	2		delete	19844711		Agent		Agent			
184.0	57		delete	9840002		Agent		Agent			
182.0	75		delete	19725644		Agent		Agent			
219.0	99		delete	60628575		Agent		Agent			
13.0	7			1945117730		Agent		Agent			
520.0	422			53127197		Agent		Agent			
5.0	2		delete	3038234263		Agent		Agent			
897.0	413		delete	13218102		Agent		Agent			
425.0	190		delete	17061263		Agent		Agent			
132.0	43		delete	106711386		Agent		Agent			
164.0	52		delete	257529281		Agent		Agent			
25.0	9		delete	14811485		Agent		Agent			
330.0	150		delete	349921132		Agent		Agent			
424.0	153		delete	15765991		Agent		Agent			
2091.0	1033		delete	17629860		Agent		Agent			
190.0	95		delete	723185462022565888		Agent		Agent			
32.0	12		delete	18767699		Agent		Agent			
910.0	547		delete	114782468		Agent		Agent			
2103.0	1241			76611108		Agent		Agent			
20.0	6		delete	119245234		Agent		Agent			
3634.0	2725		delete	2149973089		Agent		Agent			
221.0	99		delete	162114001		Agent		Agent			
612.0	473		delete	1320656142		Agent		Agent			
1733.0	382		delete	1877831		Agent		Agent			
1488.0	1120		delete	1967216306		Agent		Agent			
8.0	4		delete	468122115		Agent		Agent			
255.0	90		delete	14700316		Agent		Agent			
1708.0	743			257661436		Agent		Agent			
4186.0	2290			16072058		Agent		Agent			
1273.0	662			135991437		Agent		Agent			
770.0	313			749303		Agent		Agent			
405.0	188		delete	69620713		Agent		Agent			
680.0	262			301073375		Agent		Agent			
177.0	127		delete	179449138		Agent		Agent			
400.0	97		delete	26574283		Agent		Agent			
127.0	61		delete	836305915452272641		Agent		Agent			
755.0	379			743871787		Agent		Agent			
31.0	11		delete	21406106		Agent		Agent			
13.0	4		delete	351314119		Agent		Agent			
986.0	391		delete	29501253		Agent		Agent			
223.0	108		delete	22203756		Agent		Agent			
1518.0	672			24703826		Agent		Agent			
